Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
改革,gǎigé,v.,to reform,33,,,,New Word,5下
改善,gǎishàn,v.,"to improve, to make sth. better",30,,,,New Word,5下
盖,gài,v./n.,"to cover; lid, cover",19,,,,New Word,5下
概括,gàikuò,adj./v.,"brief and to the point; to summarize, to sum up",34,,,,New Word,5下
概念,gàiniàn,n.,"concept, notion",30,,,,New Word,5下
干脆,gāncuì,adv.,"simply, just",29,,,,New Word,5下
干燥,gānzào,adj.,"dry, arid",34,,,,New Word,5下
赶快,gǎnkuài,adv.,"at once, hurriedly",35,,,,New Word,5下
感想,gǎnxiǎng,n.,"impressions, thoughts",30,,,,New Word,5下
钢铁,gāngtiě,n.,steel,25,,,,New Word,5下
搞,gǎo,v.,(followed by a complement) to produce a certain effect or result,26,,,,New Word,5下
个性,gèxìng,n.,"individual character, personality",26,,,,New Word,5下
根,gēn,n.,root,35,,,,New Word,5下
根本,gēnběn,adv.,"(often used in the negative) at all, simply",35,,,,New Word,5下
工厂,gōngchǎng,n.,factory,32,,,,New Word,5下
工业,gōngyè,n.,industry,32,,,,New Word,5下
公布,gōngbù,v.,"to announce, to make public",32,,,,New Word,5下
公开,gōngkāi,v./adj.,to make known to the public; open,21,,,,New Word,5下
公寓,gōngyù,n.,"apartment, flat",29,,,,New Word,5下
贡献,gòngxiàn,n./v.,"contribution; to contribute, to devote",32,,,,New Word,5下
沟通,gōutōng,v.,to communicate,23,,,,New Word,5下
构成,gòuchéng,v.,"to compose, to form, to pose",30,,,,New Word,5下
鼓舞,gǔwǔ,v.,"to encourage, to inspire",32,,,,New Word,5下
鼓掌,gǔzhǎng,v.,to applaud,24,,,,New Word,5下
乖,guāi,adj.,"obedient, well-behaved",23,,,,New Word,5下
观察,guānchá,v.,"to observe, to watch",27,,,,New Word,5下
观点,guāndiǎn,n.,"idea, opinion",22,,,,New Word,5下
观念,guānniàn,n.,"mentality, concept",22,,,,New Word,5下
管子,Guǎnzǐ,n.,"tube, pipe",35,,,,New Word,5下
冠军,guànjūn,n.,"champion, first-prize winner",24,,,,New Word,5下
光滑,guānghuá,adj.,"smooth, glossy",34,,,,New Word,5下
光明,guāngmíng,adj.,"bright, promising",28,,,,New Word,5下
广场,guǎngchǎng,n.,"square, plaza",33,,,,New Word,5下
归纳,guīnà,v.,"to infer, to sum up",33,,,,New Word,5下
规矩,guīju,n.,"rule, established practice",23,,,,New Word,5下
滚,gǔn,v.,"to roll, to tumble",25,,,,New Word,5下
过分,guòfèn,adj.,excessive,22,,,,New Word,5下
行业,hángyè,n.,"trade, profession, industry",28,,,,New Word,5下
合理,hélǐ,adj.,reasonable,29,,,,New Word,5下
和平,hépíng,adj.,peaceful,30,,,,New Word,5下
核心,héxīn,n.,"core, kernel",30,,,,New Word,5下
后果,hòuguǒ,n.,"consequence, aftermath",27,,,,New Word,5下
蝴蝶,húdié,n.,butterfly,24,,,,New Word,5下
怀念,huáiniàn,v.,"to miss, to feel nostalgic",19,,,,New Word,5下
缓解,huǎnjiě,v.,"to alleviate, to ease up",33,,,,New Word,5下
幻想,huànxiǎng,n.,"fantasy, illusion",32,,,,New Word,5下
慌张,huāngzhāng,adj.,"flurried, flustered",25,,,,New Word,5下
灰,huī,n./adj.,dust; gray,22,,,,New Word,5下
灰心,huīxīn,adj.,discouraged,27,,,,New Word,5下
恢复,huīfù,v.,"to recover, to regain",35,,,,New Word,5下
火柴,huǒchái,n.,"match (for producing a flame, etc.)",22,,,,New Word,5下
肌肉,jīròu,n.,muscle,35,,,,New Word,5下
基本,jīběn,adv.,"basically, on the whole",23,,,,New Word,5下
及格,jígé,v.,to pass an exam,24,,,,New Word,5下
挤,jǐ,v.,"to squeeze out, to push out",29,,,,New Word,5下
记录,jìlù,n./v.,"record, note; to record",20,,,,New Word,5下
纪录,jìlù,n./v.,"record, note; to record, to note down",26,,,,New Word,5下
纪律,jìlǜ,n.,"discipline, rule",23,,,,New Word,5下
寂寞,jìmò,adj.,lonely,26,,,,New Word,5下
家务,jiāwù,n.,household duties,24,,,,New Word,5下
家乡,jiāxiāng,n.,"hometown, native place",19,,,,New Word,5下
假如,jiǎrú,conj.,"if, in case",20,,,,New Word,5下
假设,jiǎshè,v.,"to suppose, to assume",28,,,,New Word,5下
价值,jiàzhí,n.,value,22,,,,New Word,5下
艰巨,jiānjù,adj.,"arduous, formidable",24,,,,New Word,5下
捡,jiǎn,v.,"to pick up, to collect",36,,,,New Word,5下
剪刀,jiǎndāo,n.,scissors,36,,,,New Word,5下
简历,jiǎnlì,n.,"resume, CV",28,,,,New Word,5下
简直,jiǎnzhí,adv.,"simply, virtually",25,,,,New Word,5下
建立,jiànlì,v.,"to build, to establish",23,,,,New Word,5下
建设,jiànshè,v.,"to build, to construct",24,,,,New Word,5下
健身,jiànshēn,v.,"to keep fit, to work out",33,,,,New Word,5下
讲座,jiǎngzuò,n.,lecture,23,,,,New Word,5下
酱油,jiàngyóu,n.,soy sauce,19,,,,New Word,5下
交换,jiāohuàn,v.,"to exchange, to interchange",22,,,,New Word,5下
交往,jiāowǎng,v.,"to associate, to contact",24,,,,New Word,5下
浇,jiāo,v.,"to water, to pour (liquid on sth.)",36,,,,New Word,5下
狡猾,jiǎohuá,adj.,"crafty, cunning",31,,,,New Word,5下
教练,jiàoliàn,n.,"coach, instructor",27,,,,New Word,5下
教训,jiàoxun,n.,"lesson, moral",27,,,,New Word,5下
阶段,jiēduàn,n.,"stage, phase",23,,,,New Word,5下
接触,jiēchù,v.,"to contact, to get in touch with",34,,,,New Word,5下
接近,jiējìn,v.,"to approach, to be close to",30,,,,New Word,5下
结合,jiéhé,v.,"to combine, to integrate",36,,,,New Word,5下
届,jiè,m.,"session, year, class",28,,,,New Word,5下
尽快,jǐnkuài,adv.,as soon as possible,21,,,,New Word,5下
尽量,jǐnliàng,adv.,"to the best of one's abilities, to the greatest extent",32,,,,New Word,5下
紧急,jǐnjí,adj.,"urgent, emergent",36,,,,New Word,5下
谨慎,jǐnshèn,adj.,"cautious, prudent",25,,,,New Word,5下
进步,jìnbù,v.,"to make progress, to improve",24,,,,New Word,5下
经典,jīngdiǎn,n./adj.,classics; classical,21,,,,New Word,5下
经商,jīngshāng,v.,"to do business, to engage in trade",23,,,,New Word,5下
酒吧,jiǔbā,n.,bar (for drinks),23,,,,New Word,5下
橘子,júzi,n.,tangerine,19,,,,New Word,5下
巨大,jùdà,adj.,"huge, tremendous",22,,,,New Word,5下
具体,jùtǐ,adj.,"specific, detailed",28,,,,New Word,5下
据说,jùshuō,v.,"it is said, reputedly",26,,,,New Word,5下
决赛,juésài,v.,"final, final match",30,,,,New Word,5下
角色,juésè,n.,"role, part",34,,,,New Word,5下
均匀,jūnyún,adj.,"even, well-distributed",19,,,,New Word,5下
开放,kāifàng,v.,to open to the public,21,,,,New Word,5下
开水,kāishuǐ,n.,boiled water,35,,,,New Word,5下
砍,kǎn,v.,"to cut, to chop, to fell",32,,,,New Word,5下
看不起,kànbuqǐ,v.,"to look down upon, to despise",31,,,,New Word,5下
可怕,kěpà,adj.,"terrible, dreadful",25,,,,New Word,5下
克服,kèfú,v.,"to overcome, to conquer",21,,,,New Word,5下
刻苦,kèkǔ,adj.,"hardworking, assiduous",23,,,,New Word,5下
客观,kèguān,adj.,objective,22,,,,New Word,5下
空闲,kòngxián,adj.,"leisurely, free",24,,,,New Word,5下
控制,kòngzhì,v.,"to control, to take command of",35,,,,New Word,5下
口味,kǒuwèi,n.,"taste, flavor",19,,,,New Word,5下
库,kù,n.,"storehouse, bank",21,,,,New Word,5下
夸,kuā,v.,to praise,19,,,,New Word,5下
夸张,kuāzhāng,adj.,exaggerated,32,,,,New Word,5下
宽,kuān,adj.,"wide, broad",33,,,,New Word,5下
狂,kuáng,adj.,"wildly, unrestrainedly",25,,,,New Word,5下
昆虫,kūnchóng,n.,insect,34,,,,New Word,5下
扩(大),kuò(dà),v.,"to enlarge, to expand, to broaden",33,,,,New Word,5下
朗读,lǎngdú,v.,to read aloud,24,,,,New Word,5下
劳驾,láojià,v.,to trouble sb. (to do sth.),36,,,,New Word,5下
老板,lǎobǎn,n.,"boss, employer",28,,,,New Word,5下
乐观,lèguān,adj.,optimistic,28,,,,New Word,5下
冷淡,lěngdàn,adj.,"cold, indifferent",31,,,,New Word,5下
梨,lí,n.,pear,19,,,,New Word,5下
理由,lǐyóu,n.,"reason, ground",22,,,,New Word,5下
力量,lìliàng,n.,"strength, capability",24,,,,New Word,5下
利润,lìrùn,n.,profit,29,,,,New Word,5下
利益,lìyì,n.,"benefit, interest",29,,,,New Word,5下
利用,lìyòng,v.,"to utilize, to make use of",24,,,,New Word,5下
恋爱,liàn'ài,n.,(romantic) love,31,,,,New Word,5下
了不起,liǎobuqǐ,adj.,"great, amazing",31,,,,New Word,5下
领域,lǐngyù,n.,"field, domain, realm",29,,,,New Word,5下
陆续,lùxù,adv.,"one after another, in succession",28,,,,New Word,5下
录取,lùqǔ,v.,"to enroll, to admit",23,,,,New Word,5下
逻辑,luóji,n.,logic,21,,,,New Word,5下
落后,luòhòu,v.,"foll behind, to lag behind",30,,,,New Word,5下
冒险,màoxiǎn,v.,"to venture, to have an adventure",26,,,,New Word,5下
媒体,méitǐ,n.,"media, mass media",29,,,,New Word,5下
煤炭,méitàn,n.,coal,32,,,,New Word,5下
梦想,mèngxiǎng,n./v.,dream; to dream,21,,,,New Word,5下
秘密,mìmì,adj./n.,secret,34,,,,New Word,5下
密切,mìqiè,adj.,"close, intimate",32,,,,New Word,5下
面对,miànduì,v.,"to face, to confront",28,,,,New Word,5下
面积,miànjī,n.,"area, space",33,,,,New Word,5下
面临,miànlín,v.,"to face, to confront",23,,,,New Word,5下
敏感,mǐngǎn,adj.,"sensitive, susceptible",32,,,,New Word,5下
名牌,míngpái,n.,famous brand,23,,,,New Word,5下
明确,míngquè,adj.,"clear and definite, explicit",33,,,,New Word,5下
命运,mìngyùn,n.,"fate, destiny",32,,,,New Word,5下
模糊,móhu,adj.,"blurred, indistinct, vague",31,,,,New Word,5下
陌生,mòshēng,adj.,"strange, unfamiliar",23,,,,New Word,5下
某,mǒu,pron.,"some, certain",23,,,,New Word,5下
木头,mùtou,n.,"wood, timber",20,,,,New Word,5下
目标,mùbiāo,n.,"goal, objective",23,,,,New Word,5下
难怪,nánguài,v.,"to be understandable, to be reasonable",33,,,,New Word,5下
难免,nánmiǎn,adj.,hard to avoid,22,,,,New Word,5下
内部,nèibù,n.,"inside, interior, inner part",35,,,,New Word,5下
嫩,nèn,adj.,"soft, tender",19,,,,New Word,5下
能干,nénggàn,adj.,cаpable,23,,,,New Word,5下
能源,néngyuán,n.,energy resource,32,,,,New Word,5下
嗯,ǹg,int.,used to indicate positive response,31,,,,New Word,5下
年代,niándài,n.,decade of a century,20,,,,New Word,5下
年纪,niánjì,n.,age,20,,,,New Word,5下
念,niàn,v.,to study,23,,,,New Word,5下
农业,nóngyè,n.,agriculture,32,,,,New Word,5下
偶然,ǒurán,adj./adv.,accidental; by chance,21,,,,New Word,5下
培训,péixùn,v.,to train,24,,,,New Word,5下
培养,péiyǎng,v.,"to foster, to train",29,,,,New Word,5下
赔偿,péicháng,v.,"to compensate, to indemnify",33,,,,New Word,5下
佩服,pèifú,v.,to admire,21,,,,New Word,5下
批,pī,m.,"group, batch",26,,,,New Word,5下
批准,pīzhǔn,v.,"to ratify, to approve",33,,,,New Word,5下
疲劳,píláo,adj.,"tired, fatigued",26,,,,New Word,5下
片,piàn,n.,flat and thin piece,35,,,,New Word,5下
平安,píng'ān,adj.,"safe, well",19,,,,New Word,5下
平等,píngděng,adj.,equal,22,,,,New Word,5下
平衡,pínghéng,adj.,balanced,25,,,,New Word,5下
凭,píng,v./prep.,to rely on; on the basis of,20,,,,New Word,5下
迫切,pòqiè,adj.,"urgent, pressing, eager",31,,,,New Word,5下
破坏,pòhuài,v.,"to destroy, to damage",32,,,,New Word,5下
期待,qīdài,v.,to look forward to,33,,,,New Word,5下
期间,qījiān,n.,"time, period",27,,,,New Word,5下
(象)棋,(xiàng)qí,n.,"(Chinese) chess, board game",27,,,,New Word,5下
起,qǐ,m.,"case, instance",25,,,,New Word,5下
汽油,qìyóu,n.,gasoline,33,,,,New Word,5下
谦虚,qiānxū,adj.,modest,31,,,,New Word,5下
前途,qiántú,n.,"future, prospect",28,,,,New Word,5下
强调,qiángdiào,v.,to emphasize,22,,,,New Word,5下
巧妙,qiǎomiào,adj.,"ingenious, clever",30,,,,New Word,5下
切,qiē,v.,"to cut, to chop, to slice",19,,,,New Word,5下
亲爱,qīn'ài,adj.,"dear, beloved",23,,,,New Word,5下
青,qīng,adj.,greenish blue,19,,,,New Word,5下
青少年,qīngshàonián,n.,"youngsters, teenagers",20,,,,New Word,5下
轻易,qīngyì,adj.,"easy, effortless",31,,,,New Word,5下
清淡,qīngdàn,adj.,lightly flavored and not greasy,19,,,,New Word,5下
庆祝,qìngzhù,v.,to celebrate,36,,,,New Word,5下
取消,qǔxiāo,v.,"to cancel, to call off",33,,,,New Word,5下
圈,quān,n.,"circle, ring",19,,,,New Word,5下
全面,quánmiàn,adj.,"all-round, comprehensive",22,,,,New Word,5下
劝,quàn,v.,to try to persuade,31,,,,New Word,5下
缺乏,quēfá,v.,"to lack, to be short of",28,,,,New Word,5下
燃烧,ránshāo,v.,"to burn, to combust",32,,,,New Word,5下
热爱,rè'ài,v.,to love ardently,36,,,,New Word,5下
热烈,rèliè,adj.,"enthusiastic, ardent",24,,,,New Word,5下
热心,rèxīn,adj.,"enthusiastic, earnest",29,,,,New Word,5下
人物,rénwù,n.,"figure, personage",26,,,,New Word,5下
忍不住,rěnbuzhù,n.,cannot help (doing sth.),23,,,,New Word,5下
日程,rìchéng,n.,schedule,21,,,,New Word,5下
日用品,rìyòngpǐn,n.,"articles of everyday use, daily necessities",29,,,,New Word,5下
色彩,sècǎi,n.,color,19,,,,New Word,5下
沙漠,shāmò,n.,desert,32,,,,New Word,5下
沙滩,shātān,adj.,sand beach,23,,,,New Word,5下
傻,shǎ,n.,"stupid, foolish",29,,,,New Word,5下
商品,shāngpǐn,n.,"goods, commodity",30,,,,New Word,5下
商务,shāngwù,n.,business affairs,33,,,,New Word,5下
商业,shāngyè,v.,"business, commerce",29,,,,New Word,5下
舍不得,shěbude,n.,"to be unwilling to part with or give up, to grudge",27,,,,New Word,5下
设备,shèbèi,n.,"(referring to a container in this text) equipment, device",30,,,,New Word,5下
设施,shèshī,n.,"installation, facilities",32,,,,New Word,5下
身材,shēncái,v.,"figure, stature",20,,,,New Word,5下
生产,shēngchǎn,v.,"to produce, to manufacture",32,,,,New Word,5下
生长,shēngzhǎng,v.,to grow,29,,,,New Word,5下
失去,shīqù,adj.,to lose,27,,,,New Word,5下
湿润,shīrùn,n.,"moist, humid",35,,,,New Word,5下
实话,shíhuà,v.,"truth, true words",28,,,,New Word,5下
实践,shíjiàn,adj.,to put into practice,31,,,,New Word,5下
实用,shíyòng,v.,practical,30,,,,New Word,5下
使劲(儿),shǐjìn(r),n.,"to exert oneself, to make efforts",25,,,,New Word,5下
事先,shìxiān,n.,"beforehand, in advance",27,,,,New Word,5下
收获,shōuhuò,n.,gain,24,,,,New Word,5下
手续,shǒuxù,v.,procedure,20,,,,New Word,5下
受(伤),shòu(shāng),n.,"to be hurt, to be injured",33,,,,New Word,5下
梳子,shūzi,,comb,34,,,,New Word,5下
输入,shūrù,v.,to input,21,,,,New Word,5下
熟练,shúliàn,adj.,"skilled, practiced",36,,,,New Word,5下
属于,shǔyú,v.,to belong to,22,,,,New Word,5下
数据,shùjù,n.,data,32,,,,New Word,5下
摔倒,shuāidǎo,,"to fall down, to tumble",25,,,,New Word,5下
丝毫,sīháo,adj.,"slightest, at all",25,,,,New Word,5下
私(人),sī(rén),n.,private,32,,,,New Word,5下
思考,sīkǎo,v.,"to think deeply, to ponder",21,,,,New Word,5下
思想,sīxiǎng,n.,"thought, thinking",26,,,,New Word,5下
随身,suíshēn,adj.,"(to carry/take...) with one, personally",34,,,,New Word,5下
损失,sǔnshī,v.,to lose,27,,,,New Word,5下
缩短,suōduǎn,v.,to shorten,31,,,,New Word,5下
烫,tàng,v./adj.,"to scald, to burn; very hot, scalding",19,,,,New Word,5下
逃避,táobì,v.,"to escape, to evade",30,,,,New Word,5下
特色,tèsè,n.,"characteristic, distinctive feature",19,,,,New Word,5下
特殊,tèshū,adj.,"special, particular",35,,,,New Word,5下
特征,tèzhēng,n.,"feature, characteristic",34,,,,New Word,5下
疼爱,téng'ài,v.,to love dearly,22,,,,New Word,5下
提倡,tíchàng,v.,"to advocate, to encourage",26,,,,New Word,5下
提问,tíwèn,v.,to ask a question,28,,,,New Word,5下
题目,tímù,n.,title,24,,,,New Word,5下
体会,tǐhuì,n.,"feeling, understanding",30,,,,New Word,5下
体贴,tǐtiē,adj.,"thoughtful, considerate",24,,,,New Word,5下
体现,tǐxiàn,v.,"to manifest, to reflect",33,,,,New Word,5下
体验,tǐyàn,v.,to feel and experience,28,,,,New Word,5下
天空,tiānkōng,n.,sky,34,,,,New Word,5下
痛苦,tòngkǔ,adj.,"painful, suffering",21,,,,New Word,5下
痛快,tòngkuài,adj.,to one's heart's content,34,,,,New Word,5下
投资,tóuzī,v.,"to invest, to fund",26,,,,New Word,5下
透明,tòumíng,adj.,transparent,19,,,,New Word,5下
退休,tuìxiū,v.,to retire,21,,,,New Word,5下
外交,wàijiāo,n.,diplomacy,23,,,,New Word,5下
完美,wánměi,adj.,"perfect, flawless",22,,,,New Word,5下
完善,wánshàn,v./adj.,"to make perfect, to improve; perfect",21,,,,New Word,5下
万一,wànyī,conj.,"in case, if by any chance",29,,,,New Word,5下
王子,wángzǐ,n.,prince,22,,,,New Word,5下
网络,wǎngluò,n.,"network, web",20,,,,New Word,5下
威胁,wēixié,v.,to threaten,25,,,,New Word,5下
违反,wéifǎn,v.,"to violate, to go against",23,,,,New Word,5下
唯一,wéiyī,adj.,"only, sole",34,,,,New Word,5下
未必,wèibì,adv.,"may not, not necessarily",27,,,,New Word,5下
温柔,wēnróu,adj.,gentle,24,,,,New Word,5下
文具,wénjù,n.,stationery,29,,,,New Word,5下
文明,wénmíng,n.,civilization,26,,,,New Word,5下
闻,wén,v.,to smell,19,,,,New Word,5下
吻,wěn,v.,to kiss,23,,,,New Word,5下
无数,wúshù,adj.,"countless, innumerable",20,,,,New Word,5下
无所谓,wúsuǒwèi,v.,"to not care, to not mind, to not take seriously",31,,,,New Word,5下
物理,wùlǐ,n.,physics,21,,,,New Word,5下
吸取,xīqǔ,v.,"to absorb, to draw",27,,,,New Word,5下
吸收,xīshōu,v.,"to absorb, to take in",35,,,,New Word,5下
系,xì,n.,department (of a university),23,,,,New Word,5下
系统,xìtǒng,n.,system,35,,,,New Word,5下
下载,xiàzǎi,v.,to download,21,,,,New Word,5下
鲜艳,xiānyàn,adj.,bright-colored,36,,,,New Word,5下
显然,xiǎnrán,adj.,"obvious, evident",28,,,,New Word,5下
相似,xiāngsì,adj.,similar,25,,,,New Word,5下
想念,xiǎngniàn,v.,"to recall with longing, to miss",19,,,,New Word,5下
消极,xiāojí,adj.,"passive, inactive",32,,,,New Word,5下
消失,xiāoshī,v.,"to disappear, to vanish",32,,,,New Word,5下
效率,xiàolǜ,n.,efficiency,26,,,,New Word,5下
歇,xiē,v.,"to rest, to take a rest",35,,,,New Word,5下
心脏,xīnzàng,n.,heart,21,,,,New Word,5下
行动,xíngdòng,n.,"action, activity",24,,,,New Word,5下
行人,xíngrén,n.,pedestrsian,33,,,,New Word,5下
幸亏,xìngkuī,adv.,fortunately,23,,,,New Word,5下
幸运,xìngyùn,adj.,"lucky, fortunate",32,,,,New Word,5下
胸,xiōng,n.,"chest, bosom",25,,,,New Word,5下
休闲,xiūxián,v.,"to have leisure, to relax",28,,,,New Word,5下
虚心,xūxīn,adj.,"open-minded, modest",33,,,,New Word,5下
押金,yājīn,n.,"cash pledge, deposit",20,,,,New Word,5下
延长,yáncháng,v.,"to prolong, to lengthen",30,,,,New Word,5下
严肃,yánsù,adj.,"serious, solemn",25,,,,New Word,5下
养,yǎng,v.,"to raise, to keep, to grow",36,,,,New Word,5下
