Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[5.15] 胆小鬼 New Word,胆小鬼,dǎnxiǎoguǐ,n.,coward,5.15,,,,New Word,5上
[5.12] 当地 New Word,当地,dāngdì,n.,"local, in the locality",5.12,,,,New Word,5上
[5.05] 挡 New Word,挡,dǎng,v.,"to block, to get in the way of",5.05,,,,New Word,5上
[5.10] 导演 New Word,导演,dǎoyǎn,n./v.,director (of a show or movie); to direct,5.10,,,,New Word,5上
[5.11] 导致 New Word,导致,dǎozhì,v.,"to cause, to lead to",5.11,,,,New Word,5上
[5.08] 倒 New Word,倒,dào,adv.,indicating being contrary to what is expected or thought,5.08,,,,New Word,5上
[5.15] 道理 New Word,道理,dàoli,n.,"principle, theory",5.15,,,,New Word,5上
[5.01] 等待 New Word,等待,děngdài,v.,to wait,5.01,,,,New Word,5上
[5.17] 等于 New Word,等于,děngyú,v.,to be equal to,5.17,,,,New Word,5上
[5.11] 低落 New Word,低落,dīluò,adj.,"down, depressed",5.11,,,,New Word,5上
[5.15] 敌(人) New Word,敌(人),dí(rén),n.,enemy,5.15,,,,New Word,5上
[5.09] 地道 New Word,地道,dìdao,adj.,"true, genuine",5.09,,,,New Word,5上
[5.05] 地区 New Word,地区,dìqū,n.,"area, region",5.05,,,,New Word,5上
[5.12] 地位 New Word,地位,dìwèi,n.,"position, status",5.12,,,,New Word,5上
[5.01] 递 New Word,递,dì,v.,"to hand over, to pass",5.01,,,,New Word,5上
[5.09] 点心 New Word,点心,diǎnxin,n.,"dessert, dim sum",5.09,,,,New Word,5上
[5.01] 电台 New Word,电台,diàntái,n.,radio station,5.01,,,,New Word,5上
[5.03] 钓 New Word,钓,diào,v.,to fish with a hook and line,5.03,,,,New Word,5上
[5.04] 顶 New Word,顶,dǐng,v.,"to go against, to move towards",5.04,,,,New Word,5上
[5.02] 冻 New Word,冻,dòng,v.,"to freeze, to feel very cold",5.02,,,,New Word,5上
[5.10] 洞 New Word,洞,dòng,n.,hole,5.10,,,,New Word,5上
[5.12] 逗 New Word,逗,dòu,v.,"to amuse, to tease",5.12,,,,New Word,5上
[5.15] 独立 New Word,独立,dúlì,v.,to be on one's own,5.15,,,,New Word,5上
[5.05] 独特 New Word,独特,dútè,adj.,"unique, distinctive",5.05,,,,New Word,5上
[5.17] 度过 New Word,度过,dùguò,v.,"to pass, to spend",5.17,,,,New Word,5上
[5.02] 断 New Word,断,duàn,v.,"to cut off, to stop",5.02,,,,New Word,5上
[5.13] 断断续续 New Word,断断续续,duànduànxùxù,adj.,"off and on, intermittent",5.13,,,,New Word,5上
[5.01] 对比 New Word,对比,duìbǐ,v.,"to compare, to contrast",5.01,,,,New Word,5上
[5.08] 对方 New Word,对方,duìfāng,n.,"the other side, the other party",5.08,,,,New Word,5上
[5.07] 蹲 New Word,蹲,dūn,v.,"to squat, to crouch",5.07,,,,New Word,5上
[5.03] 顿 New Word,顿,dùn,m.,used for meals,5.03,,,,New Word,5上
[5.13] 多亏 New Word,多亏,duōkuī,v.,"luckily, thank to",5.13,,,,New Word,5上
[5.03] 发愁 New Word,发愁,fāchóu,v.,to worry,5.03,,,,New Word,5上
[5.12] 发达 New Word,发达,fādá,adj.,"developed, advanced",5.12,,,,New Word,5上
[5.04] 反而 New Word,反而,fǎn'ér,adv.,"on the contrary, instead",5.04,,,,New Word,5上
[5.07] 反应 New Word,反应,fǎnyìng,n./v.,response; to react,5.07,,,,New Word,5上
[5.05] 反映 New Word,反映,fǎnyìng,v.,"to reflect, to mirror",5.05,,,,New Word,5上
[5.14] 方 New Word,方,fāng,adj.,square,5.14,,,,New Word,5上
[5.15] 方案 New Word,方案,fāng'àn,n.,"plan, scheme",5.15,,,,New Word,5上
[5.08] 方式 New Word,方式,fāngshì,n.,"way, method",5.08,,,,New Word,5上
