Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
立刻,lìkè,adv.,"at once, immediately",2
连忙,liánmáng,adv.,"promptly, at once",13
连续,liánxù,v.,"to be continuous, to be in succession",7
联合,liánhé,v./adj.,"to unite, to ally; joint, combined",16
良好,liánghǎo,adj.,"good, fine",17
粮食,liángshi,n.,"grain, cereal, food",8
亮,liàng,adj./v.,bright; to shine,2
临,lín,prep.,"about to, just before",2
临时,línshí,adv./adj.,for a short time; temporary,16
灵活,línghuó,adj.,"flexible, elastic",15
铃,líng,n.,bell,11
领导,lǐngdǎo,n.,leader,12
令,lìng,v.,"to make, to cause",14
流传,liúchuán,v.,"to spread, to hand down",4
流泪,liúlèi,v.,to shed tears,2
龙,lóng,n.,dragon,5
漏,lòu,v.,(of a container) to leak,3
陆地,lùdì,n.,land,3
轮,lún,v.,to take turns,1
轮流,lúnliú,v.,to take turns,3
骂,mà,v.,"to curse, to call names",15
馒头,mántou,n.,steamed bun,8
满足,mǎnzú,v.,to be satisfied,4
毛病,máobìng,n.,"shortcoming, weakness",15
矛盾,máodùn,n./adj.,conflict; conflicting,14
美术,měishù,n.,fine art,17
魅力,mèilì,n.,charm,17
苗条,miáotiao,adj.,"slim, slender",16
描写,miáoxiě,v.,"to describe, to depict",5
明明,míngmíng,adv.,"evidently, undoubtedly",9
明显,míngxiǎn,adj.,"obvious, apparent",16
明星,míngxīng,n.,"star, celebrity",12
命令,mìnglìng,v./n.,to command; order,15
摸,mō,v.,"to touch, to feel, to stroke",7
模仿,mófǎng,v.,"to imitate, to model on",11
目前,mùqián,n.,"now, present",18
哪怕,nǎpà,conj.,even if,18
脑袋,nǎodài,n.,head,1
闹钟,nàozhōng,n.,alarm clock,11
宁可,nìngkě,adv.,would rather,17
农村,nóngcūn,n.,countryside,2
农民,nóngmín,n.,"farmer, peasant",4
浓,nóng,adj.,"strong, deep",14
女士,nǚshì,n.,"lady, madam",1
拍,pāi,v.,"to take (a photo), to shoot (a video)",10
派,pài,v.,"to send, to assign, to appoint",15
派,pài,n.,"faction, school, group of people sharing identical ideas, style or tastes",18
盼望,pànwàng,v.,to look forward to,3
盆(子),pén(zi),n.,"basin, tub",6
碰,pèng,v.,"to meet, to come across",5
匹,pǐ,m.,used for horses,10
片面,piànmiàn,adj.,one-sided,7
飘,piāo,v.,"to float (in the air), to waft",2
平,píng,adj.,"flat, level",7
平常,píngcháng,adj./n.,"common, ordinary; mediocrity",17
