Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
叔叔,shūshu,n.,uncle,14
舒服,shūfu,adj.,comfortable,3
树,shù,n.,tree,2
数学,shùxué,n.,maths,10
刷牙,shuāyá,v.,to brush the teeth,16
双,shuāng,m.,pair,11
水平,shuǐpíng,n.,"level, standard",15
司机,sījī,n.,driver,12
太阳,tàiyang,n.,sun,12
特别,tèbié,adv.,extraordinarily,6
疼,téng,adj.,"hurt, painful",2
提高,tígāo,v.,to improve,15
体育,tǐyù,n.,"P.E., sports",10
甜,tián,adj.,sweet,3
条,tiáo,m.,"used for pants, dresses, etc.",3
同事,tóngshì,n.,colleague,7
同意,tóngyì,v.,to agree,18
头发,tóufa,n.,hair,16
突然,tūrán,adv.,suddenly,6
图书馆,túshūguǎn,n.,library,11
退,tuì,n.,leg,2
完成,wánchéng,v.,to complete,15
碗,wǎn,n.,bowl,20
万,wàn,num.,ten thousand,18
忘记,wàngjì,v.,to forget,11
为,wèi,prep.,for,5
为了,wèile,prep.,for the sake of,17
位,wèi,m.,a respectful measure word for people,19
文化,wénhuà,n.,culture,15
西,xi,n.,west,12
习惯,xíguàn,v./n.,to be used to; habit,11
洗手间,xǐshǒujiān,n.,"bathroom, restroom",8
洗澡,xǐzǎo,v.,to take a bath/shower,14
夏(天),xià(tiān),n.,summer,5
先,xiān,adv.,"first, in advance",9
相信,xiāngxìn,v.,to believe,18
香蕉,xiāngjiāo,n.,banana,14
向,xiàng,prep.,towards,18
像,xiàng,v.,to be like,14
小心,xiǎoxīn,adj.,careful,3
校长,xiàozhǎng,n.,headmaster,13
新闻,xīnwén,n.,news,15
新鲜,xīnxiān,adj.,fresh,3
信用卡,xìnyòngkǎ,n.,credit card,20
行李箱,xínglixiāng,n.,"luggage, suitcase",12
熊猫,xióngmāo,n.,panda,8
需要,xūyào,v.,to need,12
选择,xuǎnzé,v.,to choose,17
要求,yāoqiú,n.,requirement,15
爷爷,yéye,n.,grandfather,13
一定,yīdìng,adv.,"definitely, certainly",9
一共,yīgòng,adv.,in total,17
一会儿,yīhuìr,n.,a moment,8
一样,yīyàng,adj.,"same, as...as...",9
以前,yǐqián,n.,"before, ago",7
一般,yībān,adj.,"general, usual",13
一边,yībiān,adv.,indicating two actions taking place at the same time,13
一直,yīzhí,adv.,all the time,1
音乐,yīnyuè,n.,music,6
银行,yínháng,n.,bank,7
饮料,yǐnliào,n.,"drink, beverage",3
应该,yīnggāi,v.,should,13
影响,yǐngxiǎng,n.,influence,9
用,yòng,v.,to need,5
游戏,yóuxì,n.,game,1
有名,yǒumíng,adj.,famous,18
又,yòu,adv.,"and, again","4, 8"
遇到,yùdào,v.,"to come across, to run into",13
元,yuán,m.,unit of money,3
愿意,yuànyì,v.,would like to,13
月亮,yuèliang,n.,moon,14
越,yuè,adv.,"more, to a greater degree",5
站,zhàn,v.,to stand,4
张,zhāng,m.,"used for flat objects such as paper, photos, etc.",19
长,zhǎng,v.,"to grow, to develop",16
着急,zháojí,adj.,"worried, anxious",1
照顾,zhàogu,v.,to take care of,5
照片,zhàopiàn,n.,photo,4
照相机,zhàoxiàngjī,n.,camera,20
只,zhǐ,m.,used for certain animals,18
只,zhǐ,adv.,"only, solely",3
只有……オ……,zhǐyǒu……オ……,conj.,only...(that/can...),20
中间,zhōngjiān,n.,middle,9
终于,zhōngyú,adv.,finally,13
种,zhǒng,m.,"kind, type",18
重要,zhòngyào,adj.,important,8
周末,zhōumò,n.,weekend,1
主要,zhǔyào,adj.,main,10
注意,zhùyì,v.,to pay attention to,15
自己,zìjǐ,pron.,self,12
自行车,zìxíngchē,n.,bicycle,10
总是,zǒngshì,adv.,always,4
嘴,zuǐ,n.,mouth,18
最后,zuìhòu,n.,the last one,9
最近,zuìjìn,adv.,"lately, recently",5
作业,zuòyè,n.,homework,1
